id,type,medleydb_id,license,genre,instrument,audio_path,key,tempo,CE,CU,PC,PQ
e78ef6dc-87f8-40db-90a1-6bb4e4e226c1,all_instrument,AClassicEducation_NightOwl,cc-by-nc-sa,['singer/songwriter'],"['drum set' 'clean electric guitar' 'electric bass' 'tambourine'
 'synthesizer' 'fx/processed sound' 'distorted electric guitar']",e78ef6dc-87f8-40db-90a1-6bb4e4e226c1.wav,['F major'],['78bpm' 'Peaceful'],7.382165908813477,7.386154651641846,6.253183364868164,7.372977256774902
ffbc0530-c42a-4cd9-a50b-437997089783,all_instrument,AimeeNorwich_Child,cc-by-nc-sa,['singer/songwriter'],"['acoustic guitar' 'drum set' 'clean electric guitar' 'electric bass'
 'piano']",ffbc0530-c42a-4cd9-a50b-437997089783.wav,['B major'],['143bpm' 'Brisk and Lively'],7.3616132736206055,7.998048305511475,5.406497001647949,7.640444278717041
795d243f-3297-4d1f-971a-a4ac73f52e67,all_instrument,AimeeNorwich_Flying,cc-by-nc-sa,['world/folk'],"['cello' 'drum set' 'clean electric guitar' 'clarinet' 'trombone'
 'electric bass' 'piano' 'fx/processed sound']",795d243f-3297-4d1f-971a-a4ac73f52e67.wav,['E minor'],['105bpm' 'Medium'],6.878868579864502,7.826748847961426,4.892828464508057,7.299783706665039
ff4f87d5-091e-47c5-a9bf-ed9fe7a6bc60,all_instrument,AlexanderRoss_GoodbyeBolero,cc-by-nc-sa,['singer/songwriter'],"['acoustic guitar' 'drum set' 'clean electric guitar' 'harmonica'
 'brass section' 'electric bass' 'viola section']",ff4f87d5-091e-47c5-a9bf-ed9fe7a6bc60.wav,['G major'],['82bpm' 'Moderately slow'],7.572517395019531,7.759425640106201,5.743826866149902,7.730533599853516
307effca-e943-47e7-be05-4454bc44e784,all_instrument,AlexanderRoss_VelvetCurtain,cc-by-nc-sa,['singer/songwriter'],"['acoustic guitar' 'drum set' 'clean electric guitar' 'brass section'
 'string section' 'electric bass']",307effca-e943-47e7-be05-4454bc44e784.wav,['G major'],['83bpm' 'Natural'],7.7059502601623535,7.956759452819824,5.273547649383545,7.94986629486084
ab30e447-029e-4084-99a6-70fb26227e04,all_instrument,Allegria_MendelssohnMovement1,cc-by-nc-sa,['classical'],['cello' 'violin' 'main system' 'viola'],ab30e447-029e-4084-99a6-70fb26227e04.wav,['E minor'],['71bpm' 'Leisurely'],7.516462802886963,7.755249977111816,5.454488277435303,7.607884883880615
700839ef-2971-4f6d-a1f6-651939dccb7d,all_instrument,AmadeusRedux_MozartAllegro,cc-by-nc-sa,['classical'],['cello' 'violin' 'main system' 'viola'],700839ef-2971-4f6d-a1f6-651939dccb7d.wav,['G major'],['129bpm' 'Energetic'],7.9000325202941895,7.79680871963501,4.817220211029053,7.64124870300293
320ddf23-b0e8-4196-bada-98bab771b139,all_instrument,AmadeusRedux_SchubertMovement2,cc-by-nc-sa,['classical'],['cello' 'violin' 'main system' 'viola'],320ddf23-b0e8-4196-bada-98bab771b139.wav,['F major'],['82bpm' 'Natural'],7.820349216461182,7.727613925933838,4.79502010345459,7.158187389373779
55339ae4-cbf9-48f1-a520-9500492bec7a,all_instrument,AmadeusRedux_SchubertMovement3,cc-by-nc-sa,['classical'],['cello' 'violin' 'main system' 'viola'],55339ae4-cbf9-48f1-a520-9500492bec7a.wav,['Bb major'],['134bpm' 'Dynamic'],7.598087310791016,7.7289228439331055,4.723455905914307,7.392701148986816
da32a44f-0d57-4b59-b7e0-9e3a8c6caec1,all_instrument,AmarLal_Rest,cc-by-nc-sa,['singer/songwriter'],['clean electric guitar' 'fx/processed sound'],da32a44f-0d57-4b59-b7e0-9e3a8c6caec1.wav,['B minor'],['90bpm' 'Comfortable'],6.938516616821289,7.6613993644714355,2.080253839492798,7.864968776702881
5d2bb28c-223b-4c81-b4ce-ebc10ddb54bc,all_instrument,Auctioneer_OurFutureFaces,cc-by-nc-sa,['singer/songwriter'],"['drum set' 'clean electric guitar' 'banjo' 'auxiliary percussion'
 'horn section' 'electric bass' 'vibraphone' 'piano']",5d2bb28c-223b-4c81-b4ce-ebc10ddb54bc.wav,['G major'],['83bpm' 'Comfortable'],7.791132926940918,7.957844257354736,5.776140213012695,7.817255973815918
65424889-b8e2-4207-baf8-44e1eca627a4,all_instrument,AvaLuna_Waterduct,cc-by-nc-sa,['rock'],"['drum set' 'electric bass' 'vibraphone' 'synthesizer'
 'fx/processed sound' 'distorted electric guitar']",65424889-b8e2-4207-baf8-44e1eca627a4.wav,['A major'],['115bpm' 'Regular'],7.044580936431885,7.66818380355835,5.937633514404297,7.086666107177734
9ee0faea-9354-4518-9633-c567b284b15e,all_instrument,BarefootSisters_RedJetta,cc-by-nc-sa,['singer/songwriter'],['acoustic guitar' 'drum set' 'piano'],9ee0faea-9354-4518-9633-c567b284b15e.wav,['D major'],['70bpm' 'Calm'],7.814016819000244,8.052450180053711,4.797725677490234,7.591122627258301
